total 0
dr-x------ 2 root root   0 Nov 17 19:55 .
dr-xr-xr-x 9 root meaow  0 Nov 17 19:43 ..
lr-------- 1 root root  64 Nov 17 19:55 60accb9b7000-60accb9c3000 -> /usr/libexec/gdm-session-worker
lr-------- 1 root root  64 Nov 17 19:55 60accb9c3000-60accb9e3000 -> /usr/libexec/gdm-session-worker
lr-------- 1 root root  64 Nov 17 19:55 60accb9e3000-60accb9f0000 -> /usr/libexec/gdm-session-worker
lr-------- 1 root root  64 Nov 17 19:55 60accb9f0000-60accb9f5000 -> /usr/libexec/gdm-session-worker
lr-------- 1 root root  64 Nov 17 19:55 60accb9f5000-60accb9f6000 -> /usr/libexec/gdm-session-worker
lr-------- 1 root root  64 Nov 17 19:55 7863ea11c000-7863ea124000 -> /usr/lib/x86_64-linux-gnu/libnss_systemd.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ea124000-7863ea163000 -> /usr/lib/x86_64-linux-gnu/libnss_systemd.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ea163000-7863ea173000 -> /usr/lib/x86_64-linux-gnu/libnss_systemd.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ea173000-7863ea177000 -> /usr/lib/x86_64-linux-gnu/libnss_systemd.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ea177000-7863ea178000 -> /usr/lib/x86_64-linux-gnu/libnss_systemd.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ea178000-7863ea183000 -> /usr/lib/x86_64-linux-gnu/security/pam_systemd.so
lr-------- 1 root root  64 Nov 17 19:55 7863ea183000-7863ea1dd000 -> /usr/lib/x86_64-linux-gnu/security/pam_systemd.so
lr-------- 1 root root  64 Nov 17 19:55 7863ea1dd000-7863ea1f5000 -> /usr/lib/x86_64-linux-gnu/security/pam_systemd.so
lr-------- 1 root root  64 Nov 17 19:55 7863ea1f5000-7863ea1fb000 -> /usr/lib/x86_64-linux-gnu/security/pam_systemd.so
lr-------- 1 root root  64 Nov 17 19:55 7863ea1fb000-7863ea1fc000 -> /usr/lib/x86_64-linux-gnu/security/pam_systemd.so
lr-------- 1 root root  64 Nov 17 19:55 7863eba00000-7863ebf75000 -> /usr/lib/locale/locale-archive
lr-------- 1 root root  64 Nov 17 19:55 7863ebfb5000-7863ebfb7000 -> /usr/lib/x86_64-linux-gnu/libnss_sss.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebfb7000-7863ebfbf000 -> /usr/lib/x86_64-linux-gnu/libnss_sss.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebfbf000-7863ebfc1000 -> /usr/lib/x86_64-linux-gnu/libnss_sss.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebfc1000-7863ebfc2000 -> /usr/lib/x86_64-linux-gnu/libnss_sss.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebfc2000-7863ebfc3000 -> /usr/lib/x86_64-linux-gnu/libnss_sss.so.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebfc3000-7863ebfc7000 -> /usr/lib/x86_64-linux-gnu/libcrack.so.2.9.0
lr-------- 1 root root  64 Nov 17 19:55 7863ebfc7000-7863ebfcb000 -> /usr/lib/x86_64-linux-gnu/libcrack.so.2.9.0
lr-------- 1 root root  64 Nov 17 19:55 7863ebfcb000-7863ebfcd000 -> /usr/lib/x86_64-linux-gnu/libcrack.so.2.9.0
lr-------- 1 root root  64 Nov 17 19:55 7863ebfcd000-7863ebfce000 -> /usr/lib/x86_64-linux-gnu/libcrack.so.2.9.0
lr-------- 1 root root  64 Nov 17 19:55 7863ebfce000-7863ebfcf000 -> /usr/lib/x86_64-linux-gnu/libcrack.so.2.9.0
lr-------- 1 root root  64 Nov 17 19:55 7863ebfda000-7863ebfe1000 -> /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
lr-------- 1 root root  64 Nov 17 19:55 7863ebfe1000-7863ebfe3000 -> /usr/lib/x86_64-linux-gnu/libpam_misc.so.0.82.1
lr-------- 1 root root  64 Nov 17 19:55 7863ebfe3000-7863ebfe5000 -> /usr/lib/x86_64-linux-gnu/libpam_misc.so.0.82.1
lr-------- 1 root root  64 Nov 17 19:55 7863ebfe5000-7863ebfe6000 -> /usr/lib/x86_64-linux-gnu/libpam_misc.so.0.82.1
lr-------- 1 root root  64 Nov 17 19:55 7863ebfe6000-7863ebfe7000 -> /usr/lib/x86_64-linux-gnu/libpam_misc.so.0.82.1
lr-------- 1 root root  64 Nov 17 19:55 7863ebfe7000-7863ebfe8000 -> /usr/lib/x86_64-linux-gnu/libpam_misc.so.0.82.1
lr-------- 1 root root  64 Nov 17 19:55 7863ebfe9000-7863ebfeb000 -> /usr/lib/x86_64-linux-gnu/libpwquality.so.1.0.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebfeb000-7863ebfee000 -> /usr/lib/x86_64-linux-gnu/libpwquality.so.1.0.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebfee000-7863ebfef000 -> /usr/lib/x86_64-linux-gnu/libpwquality.so.1.0.2
