total 0
dr-x------ 2 meaow meaow 132 Nov 17 19:43 .
dr-xr-xr-x 9 meaow meaow   0 Nov 17 19:43 ..
lr-x------ 1 meaow meaow  64 Nov 17 19:43 0 -> /dev/null
lrwx------ 1 meaow meaow  64 Nov 17 19:43 1 -> socket:[25401]
lr-x------ 1 meaow meaow  64 Nov 17 19:43 10 -> anon_inode:inotify
lrwx------ 1 meaow meaow  64 Nov 17 19:47 100 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 101 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 102 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 103 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 104 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 105 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 106 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 107 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 108 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 109 -> anon_inode:[pidfd]
lr-x------ 1 meaow meaow  64 Nov 17 19:47 11 -> anon_inode:inotify
lrwx------ 1 meaow meaow  64 Nov 17 19:47 110 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 111 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 112 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 113 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 114 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 115 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 116 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 117 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 118 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 119 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:43 12 -> anon_inode:[timerfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 120 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:43 121 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 122 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:43 123 -> anon_inode:[pidfd]
lrwx------ 1 meaow meaow  64 Nov 17 19:47 124 -> anon_inode:[pidfd]
