total 0
dr-x------ 2 meaow meaow 148 Nov 17 19:51 .
dr-xr-xr-x 9 meaow meaow   0 Nov 17 19:51 ..
lr-x------ 1 meaow meaow  64 Nov 17 19:55 0 -> /dev/null
lrwx------ 1 meaow meaow  64 Nov 17 19:55 1 -> socket:[38694]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 10 -> socket:[43625]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 100 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/favicons.sqlite-shm
lrwx------ 1 meaow meaow  64 Nov 17 19:55 101 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/bounce-tracking-protection.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:55 102 -> /memfd:mozilla-ipc (deleted)
lrwx------ 1 meaow meaow  64 Nov 17 19:55 103 -> /home/meaow/snap/firefox/common/.mozilla/firefox/Profile Groups/c387c2c3.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:55 104 -> /home/meaow/snap/firefox/common/.mozilla/firefox/Profile Groups/c387c2c3.sqlite-wal
lrwx------ 1 meaow meaow  64 Nov 17 19:55 105 -> /home/meaow/snap/firefox/common/.mozilla/firefox/Profile Groups/c387c2c3.sqlite-shm
lrwx------ 1 meaow meaow  64 Nov 17 19:55 107 -> socket:[38870]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 109 -> socket:[45430]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 11 -> socket:[43621]
lrwx------ 1 meaow meaow  64 Nov 17 19:51 110 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/places.sqlite-wal
lr-x------ 1 meaow meaow  64 Nov 17 19:51 111 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/places.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:55 112 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/favicons.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:55 113 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/favicons.sqlite-wal
lrwx------ 1 meaow meaow  64 Nov 17 19:55 114 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/content-prefs.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:51 115 -> socket:[44713]
lr-x------ 1 meaow meaow  64 Nov 17 19:55 116 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/places.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:55 117 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/places.sqlite-wal
lr-x------ 1 meaow meaow  64 Nov 17 19:55 118 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/favicons.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:55 119 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/favicons.sqlite-wal
lrwx------ 1 meaow meaow  64 Nov 17 19:55 12 -> socket:[43626]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 120 -> /memfd:mozilla-ipc (deleted)
lr-x------ 1 meaow meaow  64 Nov 17 19:55 123 -> /home/meaow/.local/share/gvfs-metadata/root (deleted)
lrwx------ 1 meaow meaow  64 Nov 17 19:55 127 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/domain_to_categories.sqlite
lr-x------ 1 meaow meaow  64 Nov 17 19:55 128 -> /home/meaow/.local/share/gvfs-metadata/root-1fb150f4.log (deleted)
lrwx------ 1 meaow meaow  64 Nov 17 19:55 13 -> socket:[38713]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 132 -> socket:[38868]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 133 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/formhistory.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:55 137 -> socket:[44679]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 138 -> socket:[44636]
lrwx------ 1 meaow meaow  64 Nov 17 19:51 139 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/places.sqlite-wal
lrwx------ 1 meaow meaow  64 Nov 17 19:55 14 -> socket:[38714]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 140 -> socket:[44722]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 141 -> socket:[44618]
lr-x------ 1 meaow meaow  64 Nov 17 19:55 142 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/favicons.sqlite
lrwx------ 1 meaow meaow  64 Nov 17 19:55 143 -> /home/meaow/snap/firefox/common/.mozilla/firefox/jh9j8na6.default/favicons.sqlite-wal
lrwx------ 1 meaow meaow  64 Nov 17 19:51 145 -> socket:[45237]
lrwx------ 1 meaow meaow  64 Nov 17 19:55 146 -> socket:[43800]
